symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
USDJPY,SELL,2024-03-07 15:00:00+00:00,2024-03-08 01:15:00+00:00,148.117,147.7864857142857,6.193888080236241,10.25,0,TRAILING_BE_EXIT,
NZDUSD,BUY,2024-03-07 18:00:00+00:00,2024-03-08 01:15:00+00:00,0.61683,0.6174497142857143,2.797990079999953,7.25,0,TRAILING_BE_EXIT,
US100,BUY,2024-03-08 03:00:00+00:00,2024-03-08 03:30:00+00:00,18250.93,18279.954642857145,2.194659357143021,0.5,0,TRAILING_BE_EXIT,
BTCUSD,BUY,2024-03-08 02:00:00+00:00,2024-03-08 08:30:00+00:00,66976.0,67208.19892857142,2.2494672964285116,6.5,0,TRAILING_BE_EXIT,
US500,SELL,2024-03-08 04:00:00+00:00,2024-03-08 12:00:00+00:00,5160.31,5157.350714285714,-0.4066632857142447,8.0,0,TRAILING_BE_EXIT,
EURUSD,BUY,2024-03-08 09:00:00+00:00,2024-03-08 13:30:00+00:00,1.09355,1.0939267857142858,1.5678420714293062,4.5,0,TRAILING_BE_EXIT,
US30,SELL,2024-03-08 13:00:00+00:00,2024-03-08 13:45:00+00:00,38689.5,38835.7,-15.325642142856852,0.75,0,SOFT_ATR_STOP,
USDCAD,BUY,2024-03-08 15:00:00+00:00,2024-03-10 21:15:00+00:00,1.3451,1.34771,11.24841282620149,54.25,0,12H_ML_CUT,
USDCHF,SELL,2024-03-08 16:00:00+00:00,2024-03-10 21:15:00+00:00,0.87523,0.87506,7.987960374962375,53.25,1,12H_ML_CUT,
XAUUSD,SELL,2024-03-11 00:00:00+00:00,2024-03-11 12:00:00+00:00,2181.567,2178.888,2.3966597500000875,12.0,0,12H_ML_CUT,
US100,BUY,2024-03-11 01:00:00+00:00,2024-03-11 13:00:00+00:00,18013.75,17951.73,-4.14518494285717,12.0,0,12H_ML_CUT,
BTCUSD,BUY,2024-03-11 12:00:00+00:00,2024-03-11 13:45:00+00:00,71445.74,71854.03892857143,4.008706296428569,1.75,0,TRAILING_BE_EXIT,
US30,SELL,2024-03-11 13:00:00+00:00,2024-03-11 15:00:00+00:00,38610.5,38576.56428571429,2.6847842857140156,2.0,0,TRAILING_BE_EXIT,
NZDUSD,SELL,2024-03-11 15:00:00+00:00,2024-03-11 18:45:00+00:00,0.61678,0.6163778571428571,0.5464237457144336,3.75,0,TRAILING_BE_EXIT,
BTCUSD,BUY,2024-03-11 19:00:00+00:00,2024-03-11 19:15:00+00:00,72459.02,72855.74607142857,3.8930934535713724,0.25,0,TRAILING_BE_EXIT,
AUDUSD,SELL,2024-03-11 14:00:00+00:00,2024-03-12 02:00:00+00:00,0.66008,0.66166,-17.080021260000013,12.0,1,12H_ML_CUT,
BTCUSD,BUY,2024-03-11 20:00:00+00:00,2024-03-12 07:00:00+00:00,71983.06,72272.79892857143,2.8242918964285932,11.0,0,TRAILING_BE_EXIT,
US500,SELL,2024-03-12 02:00:00+00:00,2024-03-12 09:15:00+00:00,5136.53,5133.3553571428565,-0.38517064285710606,7.25,0,TRAILING_BE_EXIT,
GBPUSD,SELL,2024-03-12 10:00:00+00:00,2024-03-12 13:00:00+00:00,1.27898,1.2771077142857143,11.565980659999617,3.0,0,TRAILING_BE_EXIT,
US30,SELL,2024-03-12 13:00:00+00:00,2024-03-12 14:00:00+00:00,38878.9,38821.45428571429,5.036358571428504,1.0,0,TRAILING_BE_EXIT,
