symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio
US100,BUY,2024-10-17 03:00:00+00:00,2024-10-17 07:15:00+00:00,20155.63,20272.675428571427,4.3992636571427495,4.25,0,TRAILING_BE_EXIT,ASIA,0.10392309690828354,0.7934193992389067,-2.1437568403259917,-3.078755595190124,53.38487644093351,44.682698730575495,44.682698730575495,40.9888058988976,43.15906423268376,53.38487644093351,57.2421428571423,-1.5236344978917344,0.0028400076235345806,3,0,9.011194101102397,3055.8647236428064
US30,SELL,2024-10-17 07:00:00+00:00,2024-10-17 13:30:00+00:00,43111.9,43312.3,-21.72022785714308,6.5,2,SOFT_ATR_STOP,OVERLAP_ASIA_EU,0.29103214890017076,0.6354873631177602,2.5540237312039977,4.404356761170192,72.01066944266599,58.29935398521604,58.29935398521604,65.81707897087111,61.72124840348111,72.01066944266599,43.44285714285901,3.421894418265076,0.0010076767004669016,7,3,15.817078970871108,3128.3492253593813
US100,SELL,2024-10-17 08:00:00+00:00,2024-10-17 20:00:00+00:00,20299.31,20211.79,13.549805500000037,12.0,1,12H_ML_CUT,OVERLAP_ASIA_EU,0.7329642677403247,1.1002795202767495,1.9013041062028861,5.301110979627381,47.22910151479959,76.31786562135467,76.31786562135467,64.91492389088754,54.29277868278437,47.22910151479959,42.61428571428587,-22.025086938570297,0.002099297252679321,8,3,14.914923890887536,2012.6344259806813
USDCHF,SELL,2024-10-17 14:00:00+00:00,2024-10-18 02:00:00+00:00,0.86446,0.86589,-8.957421117496388,12.0,1,12H_ML_CUT,OVERLAP_EU_US,0.16564417177913443,2.0569669943158657,-0.3868374577831517,-11.738325764117896,42.91178912759312,48.06484058074647,48.06484058074647,49.51117871785093,55.622024967729295,42.91178912759312,0.0010192857142857226,7.557184386982826,0.0011791010738330548,14,4,0.4888212821490683,0.04373937363219706
US100,BUY,2024-10-18 02:00:00+00:00,2024-10-18 06:00:00+00:00,20232.73,20261.472857142857,1.7332297142857227,4.0,0,TRAILING_BE_EXIT,ASIA,0.19623033304047963,0.649678628721006,2.1342078071202053,7.393950681450285,34.50507740976314,45.83684769340319,45.83684769340319,46.83515929835474,50.21099136296757,34.50507740976314,74.97357142857072,4.374143669564376,0.003705558836033038,2,0,3.164840701645261,2586.968885829239
USDCAD,BUY,2024-10-17 20:00:00+00:00,2024-10-18 08:00:00+00:00,1.37991,1.37912,-6.012760302636448,12.0,0,12H_ML_CUT,US,0.3333333333332586,0.9800739923411373,0.27576267848360203,1.8363558397645932,49.77209443282913,63.33739426392475,63.33739426392475,67.81733809332522,62.61267801515283,49.77209443282913,0.0010385714285714442,-0.7247162487719194,0.0007526370767451822,20,2,17.81733809332522,0.05169187521809617
US500,SELL,2024-10-18 06:00:00+00:00,2024-10-18 18:00:00+00:00,5851.66,5870.17,-3.7195691428571758,12.0,1,12H_ML_CUT,ASIA,0.12144702842377302,0.458778836432726,2.567770248401551,4.757526553092241,43.75618453976209,53.04393836141474,53.04393836141474,48.54851881815284,53.98257616511763,43.75618453976209,9.187142857142785,0.9386378037028891,0.0015700062644006633,6,0,1.4514811818471571,401.9943182502968
US100,SELL,2024-10-18 08:00:00+00:00,2024-10-18 20:00:00+00:00,20308.17,20337.79,-0.7337659714286239,12.0,0,12H_ML_CUT,OVERLAP_ASIA_EU,1.0,0.5269812341892909,2.789972985348193,6.230637088724222,35.64950229007016,75.06888264960796,75.06888264960796,56.47996533833717,53.418215504391725,35.64950229007016,46.60642857142817,-21.650667145216232,0.002294959544431043,8,3,6.479965338337173,1661.4959820891197
NZDUSD,BUY,2024-10-18 20:00:00+00:00,2024-10-18 20:30:00+00:00,0.60694,0.6073310714285715,1.0264191857142415,0.5,0,TRAILING_BE_EXIT,US,0.11656441717790325,0.9158491722869793,2.1668022478784437,9.506624497729085,54.58719933397259,52.36831098723814,52.36831098723814,53.71241873761739,48.641234707887754,54.58719933397259,0.0007821428571428503,-3.727076279350385,0.001288665860122665,20,2,3.7124187376173907,0.042694988050499615
EURUSD,BUY,2024-10-18 18:00:00+00:00,2024-10-20 21:15:00+00:00,1.08616,1.08664,0.35998848000021594,51.25,0,TRAILING_BE_EXIT,US,0.08550185873603923,1.135446474429599,-5.135775923187126,-4.666967485434874,70.2288097625731,58.24854467109086,58.24854467109086,61.914703704879415,40.1415116453769,70.2288097625731,0.0009728571428571721,-18.10703302571396,0.0008956849293448222,18,2,11.914703704879415,0.06832259921187675
