symbol,direction,entry_time,session,profit_usd,is_win,RSI_M15,RSI_H1,RSI_H4,ADX,ATR,hour
USDCAD,BUY,2026-02-02T00:00:00+00:00,ASIA,3.6528879732315596,1,63.82826944587998,70.49344906231137,57.647896980572995,28.456049264313872,0.002639462051490976,0
US100,SELL,2026-02-02T00:00:00+00:00,ASIA,-4.178400000000002,0,40.31427434636196,32.22992897155284,38.82087369719583,40.20153035824818,128.68884062578832,0
AUDUSD,SELL,2026-02-02T16:00:00+00:00,US,-12.395590670821855,0,43.31969907846029,43.80854238343754,44.98394477658056,29.297850164468677,0.002234594326861757,16
USDCHF,BUY,2026-02-02T15:00:00+00:00,OVERLAP_EU_US,-0.15407529145910456,0,70.61432419453031,76.28482478297688,57.22722072719695,33.50040143367839,0.0016479256218769887,15
US100,BUY,2026-02-03T03:00:00+00:00,ASIA,-5.522711579113457,0,53.949885705816136,63.20942029494747,55.31536702809455,30.953279121675415,99.07587217497174,3
US500,BUY,2026-02-02T17:00:00+00:00,US,-0.8065999999999894,0,77.27458113167496,66.93726413791352,55.35948659115956,28.119105802000945,25.003157708101313,17
AUDUSD,BUY,2026-02-03T07:00:00+00:00,OVERLAP_ASIA_EU,4.999999999999893,1,67.64901971307074,63.72178351760714,60.42403311717079,26.39130940878107,0.0020671109242502675,7
USDJPY,BUY,2026-02-04T03:00:00+00:00,ASIA,0.35825325946481557,1,78.97463564699653,75.37573665880177,62.7781014741853,31.072811630470717,0.18089498985348954,3
EURUSD,SELL,2026-02-02T14:00:00+00:00,OVERLAP_EU_US,-1.1999999999998678,0,26.005614189347178,28.774354236303445,44.344076638121635,34.17628354226203,0.0019524140246479223,14
USDCAD,BUY,2026-02-03T10:00:00+00:00,EUROPE,-5.931338620444471,0,63.27406672869209,59.97241505155747,56.08941772252754,32.00205377415668,0.0016972986925483284,10
USDJPY,BUY,2026-02-04T06:00:00+00:00,ASIA,0.35176811445899225,1,63.95498651073079,74.29505641827181,67.92317513407002,35.310984490605634,0.17016337197817913,6
XAUUSD,BUY,2026-02-04T09:00:00+00:00,EUROPE,5.0,1,59.13207562237292,72.37805050841536,56.67067605040224,25.07710049857009,48.79191366547052,9
US100,SELL,2026-02-03T19:00:00+00:00,US,5.000000000000036,1,15.503933399538681,21.013318715152767,44.290421579014335,34.05026919921021,109.46008249096563,19
US100,SELL,2026-02-04T15:00:00+00:00,OVERLAP_EU_US,5.0,1,21.880397436390155,29.88517344646332,42.91253228283282,34.23812222575685,91.68780749221955,15
AUDUSD,BUY,2026-02-04T05:00:00+00:00,ASIA,-2.5200000000000777,0,54.47042469357709,56.74731472266204,57.15888541372922,15.231734673833397,0.00156273936895028,5
NZDUSD,BUY,2026-02-03T16:00:00+00:00,US,-4.2600000000000415,0,57.313439808105734,57.56728630613734,55.71008278855708,16.438852409268094,0.0014277440614600245,16
GBPUSD,SELL,2026-02-04T18:00:00+00:00,US,4.999999999999893,1,32.05714818631441,33.17095889368063,44.20078732803426,17.00761897687765,0.0020517099736258363,18
US100,SELL,2026-02-04T21:00:00+00:00,US,5.0,1,43.57469397807855,33.86612232943871,34.408857258603994,42.84278966746282,132.23355393661893,21
US100,SELL,2026-02-05T14:00:00+00:00,OVERLAP_EU_US,5.0,1,28.344557375122555,30.87531487698886,34.9854213541215,49.255548379210026,128.40291966656,14
US100,SELL,2026-02-05T16:00:00+00:00,US,5.0,1,36.12668076335847,26.375004449249843,27.32788885568173,52.52279552980648,149.07236440637055,16
USDCHF,BUY,2026-02-05T10:00:00+00:00,EUROPE,-0.5526850209505287,0,61.675136792696236,60.998896147212214,56.91219256980591,15.041630452886672,0.000864275765591408,10
USDCAD,BUY,2026-02-04T15:00:00+00:00,OVERLAP_EU_US,3.6458561199340056,1,60.03595710930342,57.88313028758177,56.3549547696361,14.921467090520489,0.0013846302712066385,15
AUDUSD,SELL,2026-02-06T00:00:00+00:00,ASIA,-21.985690689151347,0,22.819667305692168,27.595235047802404,36.25388919235623,32.72509766277864,0.0016775492071051496,0
EURUSD,SELL,2026-02-04T10:00:00+00:00,EUROPE,0.0,0,32.708001833120015,45.93384696869953,46.337226182260395,15.420105625052148,0.0012695407020508348,10
USDJPY,BUY,2026-02-06T17:00:00+00:00,US,0.03182645669689407,1,57.1341732440849,58.23283154001992,61.18135542036716,14.692968331897363,0.2035498315420943,17
US500,SELL,2026-02-05T03:00:00+00:00,ASIA,-0.5631830189058201,0,39.31484333434502,40.84603548609872,42.41090566933756,28.90098926762907,25.88179166857375,3
USDJPY,BUY,2026-02-06T19:00:00+00:00,US,0.10821201917259758,1,55.2028974024125,57.26466833238705,61.18135542036716,12.944680869585769,0.19279551801333517,19
USDCHF,BUY,2026-02-06T09:00:00+00:00,EUROPE,-3.429072345691739,0,73.12731287171037,59.356992986966,55.26779116503338,12.94773241687627,0.0009038121248104447,9
NZDUSD,BUY,2026-02-06T16:00:00+00:00,US,-0.2299999999999525,0,75.52543761783572,69.81577190924232,53.907806343273535,25.17100057241452,0.0010746688958813606,16
US100,SELL,2026-02-06T00:00:00+00:00,ASIA,-22.690188641078166,0,27.03342793058877,24.912706115285452,24.945659378993344,57.673620470389885,177.1811882471275,0
XAUUSD,BUY,2026-02-09T03:00:00+00:00,ASIA,8.809000000000196,1,56.79207936841739,62.887503334216255,57.361621856518475,26.774282364024266,45.07014588486022,3
XAUUSD,BUY,2026-02-09T06:00:00+00:00,ASIA,5.0,1,64.8048086665071,66.24634913973448,55.9034829430821,27.04256740401972,41.02542073944528,6
NZDUSD,BUY,2026-02-09T00:00:00+00:00,ASIA,5.0000000000001155,1,71.39252739337108,72.71208407775606,57.932517889786936,31.15223760957252,0.000965463348580072,0
AUDUSD,BUY,2026-02-06T20:00:00+00:00,US,5.000000000000004,1,61.49310822425792,69.96505200447702,57.386806962814184,29.701165098056357,0.001346257736543802,20
US100,BUY,2026-02-09T00:00:00+00:00,ASIA,5.000000000000036,1,74.84990722114858,71.20749205229458,54.079232846403634,33.80525604658452,138.4672933619384,0
USDCHF,SELL,2026-02-09T14:00:00+00:00,OVERLAP_EU_US,6.545959179398563,1,19.846873635456998,15.452539289939775,33.206468583722504,29.307552286606942,0.0010917116739792153,14
AUDUSD,BUY,2026-02-09T15:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,77.21335658945654,74.15233834368844,59.66962490413142,33.86163763185836,0.0014412190631310016,15
EURUSD,BUY,2026-02-09T13:00:00+00:00,OVERLAP_EU_US,-2.1400000000000308,0,74.2923544332416,79.01929138741295,63.95523306511148,33.567710807927995,0.001185846928307831,13
USDCAD,SELL,2026-02-11T03:00:00+00:00,ASIA,-14.730313784567077,0,22.083983132914014,34.12638620761046,36.55035652172641,29.60134396183538,0.0011724796675034047,3
GBPUSD,SELL,2026-02-11T16:00:00+00:00,US,4.999999999999893,1,31.769344490290774,39.59757556435088,46.767954701433005,25.092803530861218,0.002272157596507205,16
NZDUSD,BUY,2026-02-10T15:00:00+00:00,OVERLAP_EU_US,-0.4299999999999304,0,61.60957409509062,64.52373845497472,57.840503522058654,17.44264667548661,0.000891500468675928,15
AUDUSD,BUY,2026-02-11T15:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,60.766390335243294,66.53815630382925,64.78393220008886,29.66392672665571,0.00149973623653082,15
